Numero Azar: 3, Numero Apuesta: 9,  Fecha: 2017-11-24 08:36:52 -0300 
Numero Azar: 3, Numero Apuesta: 10, Fecha: 2017-11-24 09:17:11 -0300 
Numero Azar: 3, Numero Apuesta: 8, Fecha: 2017-11-24 09:17:12 -0300 
Numero Azar: 8, Numero Apuesta: 4, Fecha: 2017-11-24 09:17:12 -0300 
Numero Azar: 2, Numero Apuesta: 8, Fecha: 2017-11-24 09:17:12 -0300 
Numero Azar: 5, Numero Apuesta: 5, Fecha: 2017-11-24 09:17:12 -0300 
Numero Azar: 2, Numero Apuesta: 7, Fecha: 2017-11-24 09:17:12 -0300 
Numero Azar: 3, Numero Apuesta: 6, Fecha: 2017-11-24 09:17:12 -0300 
Numero Azar: 1, Numero Apuesta: 3, Fecha: 2017-11-24 09:17:12 -0300 
Numero Azar: 5, Numero Apuesta: 9, Fecha: 2017-11-24 09:17:12 -0300 
Numero Azar: 4, Numero Apuesta: 9, Fecha: 2017-11-24 09:17:12 -0300 
Numero Azar: 2, Numero Apuesta: 8, Fecha: 2017-11-24 09:17:12 -0300 
Numero Azar: 3, Numero Apuesta: 3, Fecha: 2017-11-24 09:17:13 -0300 
Numero Azar: 7, Numero Apuesta: 10, Fecha: 2017-11-24 09:17:13 -0300 
Numero Azar: 4, Numero Apuesta: 1, Fecha: 2017-11-24 09:17:13 -0300 
Numero Azar: 1, Numero Apuesta: 10, Fecha: 2017-11-24 09:17:13 -0300 
Numero Azar: 8, Numero Apuesta: 5, Fecha: 2017-11-24 09:17:13 -0300 
